Date, Open, High, Low, Close
12/04/20, 28.3500, 28.4500, 28.2500, 28.3500
12/03/20, 28.3500, 28.5500, 28.2500, 28.3500
12/02/20, 28.5500, 28.6500, 28.2500, 28.3500
12/01/20, 28.5500, 28.7500, 28.4500, 28.5500
11/30/20, 28.5500, 28.6500, 28.3500, 28.5500
11/27/20, 28.5500, 28.6500, 28.3500, 28.5500
11/26/20, 28.5500, 28.6500, 28.3500, 28.5500
11/25/20, 28.4500, 28.5500, 28.2500, 28.5500
11/24/20, 28.4500, 28.5500, 28.2500, 28.4500
11/23/20, 28.3500, 28.5500, 28.2500, 28.4500
11/20/20, 28.4500, 28.5500, 28.1500, 28.3500
11/19/20, 28.2500, 28.5500, 28.1500, 28.4500
11/18/20, 28.1500, 28.3500, 28.0500, 28.2500
11/17/20, 28.1500, 28.2500, 28.0500, 28.1500
11/16/20, 28.1500, 28.2500, 28.0500, 28.1500
11/13/20, 28.2500, 28.3500, 28.0500, 28.1500
11/12/20, 28.2500, 28.3500, 28.1500, 28.2500
11/11/20, 28.2500, 28.3500, 28.0500, 28.2500
11/10/20, 28.1500, 28.3500, 28.0500, 28.2500
11/09/20, 28.2500, 28.3500, 28.0500, 28.1500
11/06/20, 28.2500, 28.4500, 28.0500, 28.2500
11/05/20, 28.4500, 28.6500, 28.1500, 28.2500
11/04/20, 28.6500, 28.6500, 28.3500, 28.4500
11/03/20, 28.6500, 28.7500, 28.5500, 28.6500
11/02/20, 28.5500, 28.6500, 28.4500, 28.6500
10/30/20, 28.5500, 28.5500, 28.4500, 28.5500
10/29/20, 28.4500, 28.5500, 28.4500, 28.5500
10/28/20, 28.4500, 28.4500, 28.4500, 28.4500
10/27/20, 28.3500, 28.4500, 28.3500, 28.4500
10/26/20, 28.3500, 28.3500, 28.3500, 28.3500
10/23/20, 28.3500, 28.3500, 28.3500, 28.3500
10/22/20, 28.2500, 28.3500, 28.2500, 28.3500
10/21/20, 28.3500, 28.3500, 28.2500, 28.2500
10/20/20, 28.4500, 28.4500, 28.3500, 28.3500
10/19/20, 28.4500, 28.4500, 28.3500, 28.4500
10/16/20, 28.3500, 28.4500, 28.3500, 28.4500
10/15/20, 28.3500, 28.4500, 28.3500, 28.3500
10/14/20, 28.3500, 28.4500, 28.3500, 28.3500
10/13/20, 28.3500, 28.5500, 28.2500, 28.3500
10/12/20, 28.3500, 28.3500, 28.2500, 28.3500
10/09/20, 28.2500, 28.3500, 28.2500, 28.3500
10/08/20, 28.3500, 28.3500, 28.2500, 28.2500
10/07/20, 28.4500, 28.5500, 28.3500, 28.3500
10/06/20, 28.4500, 28.4500, 28.2500, 28.4500
10/05/20, 28.4500, 28.4500, 28.3500, 28.4500
10/02/20, 28.4500, 28.4500, 28.3500, 28.4500
10/01/20, 28.3500, 28.4500, 28.3500, 28.4500
09/30/20, 28.3500, 28.3500, 28.3500, 28.3500
09/29/20, 28.3500, 28.3500, 28.3500, 28.3500
09/28/20, 28.3500, 28.3500, 28.3500, 28.3500
09/25/20, 28.3500, 28.3500, 28.3500, 28.3500
09/24/20, 28.1500, 28.3500, 28.1500, 28.3500
09/23/20, 28.2500, 28.2500, 28.1500, 28.1500
09/22/20, 28.2500, 28.3500, 28.2500, 28.2500
09/21/20, 28.2500, 28.3500, 28.1500, 28.2500
09/18/20, 28.1500, 28.2500, 28.1500, 28.2500
09/17/20, 28.1500, 28.2500, 28.0500, 28.1500
09/16/20, 28.0500, 28.2500, 28.0500, 28.1500
09/15/20, 28.0500, 28.1500, 28.0500, 28.0500
09/14/20, 28.0500, 28.0500, 27.9500, 28.0500
09/11/20, 28.0500, 28.0500, 27.8500, 28.0500
09/10/20, 27.8500, 28.0500, 27.8500, 28.0500
09/09/20, 27.8500, 27.9500, 27.8500, 27.8500
09/08/20, 27.8500, 27.8500, 27.8500, 27.8500
09/07/20, 27.8500, 27.8500, 27.6500, 27.8500
09/04/20, 27.7500, 27.9500, 27.6500, 27.8500
09/03/20, 27.7500, 27.7500, 27.6500, 27.7500
09/02/20, 27.6500, 27.7500, 27.5500, 27.7500
09/01/20, 27.6500, 27.6500, 27.5500, 27.6500
08/31/20, 27.5500, 27.6500, 27.5500, 27.6500
08/28/20, 27.5500, 27.5500, 27.5500, 27.5500
08/27/20, 27.5500, 27.6500, 27.4500, 27.5500
08/26/20, 27.4500, 27.5500, 27.3500, 27.5500
08/25/20, 27.5500, 27.5500, 27.4500, 27.4500
08/24/20, 27.5500, 27.5500, 27.4500, 27.5500
08/21/20, 27.3500, 27.5500, 27.3500, 27.5500
08/20/20, 27.5500, 27.6500, 27.3500, 27.3500
08/19/20, 27.3500, 27.5500, 27.2500, 27.5500
08/18/20, 27.3500, 27.3500, 27.2500, 27.3500
08/17/20, 27.3500, 27.3500, 27.2500, 27.3500
08/14/20, 27.3500, 27.4500, 27.3500, 27.3500
08/13/20, 27.5500, 27.5500, 27.3500, 27.3500
08/12/20, 27.6500, 27.7500, 27.5500, 27.5500
08/11/20, 27.6500, 27.6500, 27.6500, 27.6500
08/10/20, 27.6500, 27.7500, 27.6500, 27.6500
08/07/20, 27.7500, 27.8500, 27.6500, 27.6500
08/06/20, 27.6500, 27.7500, 27.6500, 27.7500
08/05/20, 27.8500, 27.8500, 27.6500, 27.6500
08/04/20, 27.9500, 27.9500, 27.8500, 27.8500
08/03/20, 27.7500, 27.9500, 27.7500, 27.9500
07/31/20, 27.7500, 27.7500, 27.4500, 27.7500
07/30/20, 27.6500, 27.8500, 27.6500, 27.7500
07/29/20, 27.7500, 27.8500, 27.6500, 27.6500
07/28/20, 27.7500, 27.7500, 27.6500, 27.7500
07/27/20, 27.9500, 27.9500, 27.6500, 27.7500
07/24/20, 27.8500, 27.9500, 27.7500, 27.9500
07/23/20, 27.9500, 27.9500, 27.8500, 27.8500
07/22/20, 27.8500, 27.9500, 27.7500, 27.9500
07/21/20, 27.7500, 27.8500, 27.6500, 27.8500
07/20/20, 27.4500, 27.7500, 27.1500, 27.7500
07/17/20, 27.4500, 27.4500, 27.3500, 27.4500
07/16/20, 27.2500, 27.4500, 27.2500, 27.4500
07/15/20, 27.1500, 27.2500, 27.0500, 27.2500
07/14/20, 27.1500, 27.2500, 27.1500, 27.1500
